intern_id,year,month,month_start,tasks_completed,tasks_assigned,completion_rate,avg_completion_time_days,avg_quality_score,mentor_feedback_score,initiatives_taken,learning_assessment_score,collaboration_score,monthly_performance_score,performance_tier,department,mentor
INT_0001,2024,1,2024-01-01,8,11,68.6,6.0,8.0,6.8,0,55.3,8.4,441.0,Medium,Data Science,Dr. Smith
INT_0001,2024,2,2024-02-01,8,15,50.4,3.0,6.7,7.6,0,63.4,5.8,396.8,Medium,Data Science,Dr. Smith
INT_0001,2024,3,2024-03-01,7,8,85.6,1.1,7.3,7.1,0,54.0,6.1,425.9,Medium,Data Science,Dr. Smith
INT_0001,2024,4,2024-04-01,8,9,88.9,5.3,6.8,6.9,0,21.6,6.0,393.4,Medium,Data Science,Dr. Smith
INT_0001,2024,5,2024-05-01,10,18,53.9,5.3,6.8,7.6,1,35.3,4.0,379.0,Medium,Data Science,Dr. Smith
INT_0001,2024,6,2024-06-01,8,11,67.8,6.1,7.0,6.9,2,43.1,3.7,370.7,Medium,Data Science,Dr. Smith
INT_0002,2024,1,2024-01-01,8,8,93.1,2.2,7.2,5.7,2,50.6,7.6,402.6,Medium,Software Engineering,Prof. Johnson
INT_0002,2024,2,2024-02-01,7,8,82.7,3.9,6.9,7.6,1,41.5,5.9,410.8,Medium,Software Engineering,Prof. Johnson
INT_0002,2024,3,2024-03-01,8,12,63.8,4.7,6.0,6.5,0,77.0,6.5,366.3,Medium,Software Engineering,Prof. Johnson
INT_0002,2024,4,2024-04-01,5,8,57.9,6.7,7.3,7.5,1,72.6,6.0,409.5,Medium,Software Engineering,Prof. Johnson
INT_0002,2024,5,2024-05-01,10,12,78.6,4.8,6.5,6.2,1,59.6,5.6,365.5,Medium,Software Engineering,Prof. Johnson
INT_0002,2024,6,2024-06-01,11,13,81.8,4.3,4.8,8.1,2,57.7,7.9,385.0,Medium,Software Engineering,Prof. Johnson
INT_0003,2024,1,2024-01-01,4,5,69.4,5.6,6.5,5.3,0,58.2,4.0,330.0,Medium,Business Analytics,Dr. Smith
INT_0003,2024,2,2024-02-01,6,8,72.1,4.8,6.3,7.5,2,75.2,5.2,381.0,Medium,Business Analytics,Dr. Smith
INT_0003,2024,3,2024-03-01,8,13,61.4,7.3,7.0,6.2,2,56.2,4.7,364.3,Medium,Business Analytics,Dr. Smith
INT_0003,2024,4,2024-04-01,8,13,61.0,6.0,4.8,6.9,0,35.8,5.0,328.7,Medium,Business Analytics,Dr. Smith
INT_0003,2024,5,2024-05-01,10,15,65.9,1.9,5.5,5.5,0,53.0,6.0,334.4,Medium,Business Analytics,Dr. Smith
INT_0003,2024,6,2024-06-01,6,10,57.6,2.3,8.0,7.5,1,58.9,6.4,437.5,Medium,Business Analytics,Dr. Smith
