feedback_id,timestamp,department,feedback_source,feedback_text,sentiment_label,sentiment_intensity,rating_score,emotional_tone,word_count,character_count,exclamation_count,question_count,intern_experience,program_duration,has_suggestion,would_recommend
FB_00001,2024-01-17 00:00:00,Research,End-of-Program Survey,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive,0.78,4.7,satisfied,15,121,0,0,First Internship,8 weeks,False,True
FB_00002,2024-12-23 00:00:00,Business Analytics,Social Media,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive,1.0,4.8,grateful,15,108,0,0,Some Experience,16 weeks,False,True
FB_00003,2024-10-01 00:00:00,Software Engineering,Mentor Meeting,The internship experience was highly beneficial. I really enjoyed working on data analysis projects and learned so much about project management.,positive,0.76,4.4,satisfied,21,145,0,0,First Internship,6 months,False,True
FB_00004,2024-04-29 00:00:00,Marketing,Mentor Meeting,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive,0.92,5.0,excited,15,121,0,0,First Internship,6 months,False,True
FB_00005,2024-03-24 00:00:00,Research,Mentor Meeting,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.88,4.3,grateful,15,115,0,0,Some Experience,6 months,False,True
FB_00006,2024-10-17 00:00:00,Research,Email Feedback,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.73,4.3,grateful,15,115,0,0,Experienced,16 weeks,False,True
FB_00007,2024-10-02 00:00:00,UX Design,Exit Interview,It was a standard internship experience. I completed my assignments in UX Design.,neutral,0.31,3.1,reserved,13,81,0,0,Some Experience,6 months,True,False
FB_00008,2024-11-01 00:00:00,Software Engineering,Mid-term Review,The internship experience was extremely rewarding. I really enjoyed working on data analysis projects and learned so much about data visualization.,positive,0.72,3.6,satisfied,21,147,0,0,Some Experience,16 weeks,True,True
FB_00009,2024-08-10 00:00:00,Data Science,Email Feedback,The program was acceptable. I learned some skills in project management during my time here.,neutral,0.53,2.5,balanced,15,92,0,0,First Internship,6 months,False,True
FB_00010,2024-07-10 00:00:00,Research,Weekly Check-in,"The Research program needs improvement. Specifically, the feedback mechanism was disappointing.",negative,0.1,1.3,disappointed,11,95,0,0,First Internship,8 weeks,False,False
FB_00011,2024-02-05 00:00:00,UX Design,End-of-Program Survey,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive,0.77,5.0,satisfied,15,113,0,0,Experienced,12 weeks,False,True
FB_00012,2024-08-12 00:00:00,UX Design,Social Media,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.59,4.5,enthusiastic,16,103,0,0,Experienced,6 months,False,True
FB_00013,2024-02-04 00:00:00,Software Engineering,End-of-Program Survey,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive,0.82,4.2,grateful,16,96,0,0,First Internship,16 weeks,False,True
FB_00014,2024-08-30 00:00:00,Software Engineering,Weekly Check-in,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral,0.54,2.4,calm,12,92,0,0,Some Experience,12 weeks,False,True
FB_00015,2024-10-01 00:00:00,Marketing,Exit Interview,The internship experience was exceptionally valuable. I really enjoyed working on data analysis projects and learned so much about team collaboration.,positive,0.76,4.2,grateful,21,150,0,0,Some Experience,12 weeks,False,True
FB_00016,2024-03-26 00:00:00,Marketing,Exit Interview,The internship experience was excellent. I really enjoyed working on business analysis and learned so much about Python programming.,positive,1.0,4.2,grateful,19,132,0,0,Some Experience,6 months,False,True
FB_00017,2024-05-31 00:00:00,UX Design,End-of-Program Survey,The internship experience was highly beneficial. I really enjoyed working on marketing campaigns and learned so much about team collaboration.,positive,0.64,4.5,grateful,20,142,0,0,First Internship,8 weeks,False,True
FB_00018,2024-09-17 00:00:00,Business Analytics,End-of-Program Survey,The internship was adequate. I worked on business analysis and gained experience in team collaboration.,neutral,0.38,3.4,neutral,15,103,0,0,First Internship,12 weeks,False,False
FB_00019,2024-10-16 00:00:00,Software Engineering,Exit Interview,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive,0.51,4.6,inspired,16,96,0,0,Experienced,16 weeks,True,True
FB_00020,2024-06-10 00:00:00,Software Engineering,Email Feedback,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral,0.52,2.3,objective,12,92,0,0,First Internship,8 weeks,False,True
FB_00021,2024-08-12 00:00:00,Data Science,End-of-Program Survey,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.83,4.9,grateful,16,103,0,0,Experienced,16 weeks,False,True
FB_00022,2024-03-20 00:00:00,Research,Social Media,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive,0.75,4.4,inspired,16,96,0,0,Some Experience,16 weeks,False,True
FB_00023,2024-01-02 00:00:00,Research,Weekly Check-in,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive,0.69,3.8,excited,15,121,0,0,Some Experience,12 weeks,False,True
FB_00024,2024-12-19 00:00:00,Marketing,Mid-term Review,The program was acceptable. I learned some skills in Python programming during my time here.,neutral,0.61,2.8,neutral,15,92,0,0,First Internship,8 weeks,True,True
FB_00025,2024-07-27 00:00:00,Software Engineering,Exit Interview,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive,0.54,4.7,inspired,15,113,0,0,Experienced,12 weeks,True,True
FB_00026,2024-12-25 00:00:00,Software Engineering,Mentor Meeting,My mentor was excellent guide. The Software Engineering team provided excellent guidance throughout the program.,positive,0.74,4.7,grateful,15,112,0,0,First Internship,6 months,True,True
FB_00027,2024-05-22 00:00:00,UX Design,Mid-term Review,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive,0.89,4.2,enthusiastic,16,100,0,0,First Internship,16 weeks,False,True
FB_00028,2024-10-24 00:00:00,Business Analytics,Exit Interview,The program was acceptable. I learned some skills in Python programming during my time here.,neutral,0.59,3.5,calm,15,92,0,0,Some Experience,8 weeks,False,False
FB_00029,2024-01-01 00:00:00,Research,Mentor Meeting,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.75,4.1,satisfied,16,103,0,0,Experienced,12 weeks,False,True
