feedback_id,intern_id,year,month,feedback_category,score,mentor,comments
INT_0001_M1_Tec,INT_0001,2024,1,Technical Skills,7.7,Dr. Smith,"Strong technical skills, meets all expectations"
INT_0001_M1_Com,INT_0001,2024,1,Communication,6.8,Dr. Smith,"Adequate communication, has room for improvement"
INT_0001_M1_Pro,INT_0001,2024,1,Problem Solving,6.3,Dr. Smith,"Adequate problem solving, has room for improvement"
INT_0001_M1_Tea,INT_0001,2024,1,Teamwork,7.2,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0001_M1_Ini,INT_0001,2024,1,Initiative,6.2,Dr. Smith,"Adequate initiative, has room for improvement"
INT_0001_M2_Tec,INT_0001,2024,2,Technical Skills,8.1,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0001_M2_Com,INT_0001,2024,2,Communication,7.8,Dr. Smith,"Good performance in communication, reliable and consistent"
INT_0001_M2_Pro,INT_0001,2024,2,Problem Solving,7.3,Dr. Smith,"Good performance in problem solving, reliable and consistent"
INT_0001_M2_Tea,INT_0001,2024,2,Teamwork,7.8,Dr. Smith,"Strong teamwork, meets all expectations"
INT_0001_M2_Ini,INT_0001,2024,2,Initiative,8.4,Dr. Smith,"Strong initiative, meets all expectations"
INT_0001_M3_Tec,INT_0001,2024,3,Technical Skills,6.4,Dr. Smith,"Developing technical skills skills, needs more practice"
INT_0001_M3_Com,INT_0001,2024,3,Communication,6.9,Dr. Smith,"Adequate communication, has room for improvement"
INT_0001_M3_Pro,INT_0001,2024,3,Problem Solving,6.9,Dr. Smith,"Average performance in problem solving, working on improvements"
INT_0001_M3_Tea,INT_0001,2024,3,Teamwork,6.7,Dr. Smith,"Developing teamwork skills, needs more practice"
INT_0001_M3_Ini,INT_0001,2024,3,Initiative,7.0,Dr. Smith,"Adequate initiative, has room for improvement"
INT_0001_M4_Tec,INT_0001,2024,4,Technical Skills,6.5,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0001_M4_Com,INT_0001,2024,4,Communication,6.8,Dr. Smith,"Average performance in communication, working on improvements"
INT_0001_M4_Pro,INT_0001,2024,4,Problem Solving,7.3,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0001_M4_Tea,INT_0001,2024,4,Teamwork,6.3,Dr. Smith,"Average performance in teamwork, working on improvements"
INT_0001_M4_Ini,INT_0001,2024,4,Initiative,7.1,Dr. Smith,"Strong initiative, meets all expectations"
INT_0001_M5_Tec,INT_0001,2024,5,Technical Skills,7.5,Dr. Smith,"Strong technical skills, meets all expectations"
INT_0001_M5_Com,INT_0001,2024,5,Communication,9.0,Dr. Smith,"Solid communication skills, continues to improve"
INT_0001_M5_Pro,INT_0001,2024,5,Problem Solving,7.9,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0001_M5_Tea,INT_0001,2024,5,Teamwork,7.2,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0001_M5_Ini,INT_0001,2024,5,Initiative,7.1,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0001_M6_Tec,INT_0001,2024,6,Technical Skills,6.8,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0001_M6_Com,INT_0001,2024,6,Communication,7.3,Dr. Smith,"Strong communication, meets all expectations"
INT_0001_M6_Pro,INT_0001,2024,6,Problem Solving,6.6,Dr. Smith,"Developing problem solving skills, needs more practice"
INT_0001_M6_Tea,INT_0001,2024,6,Teamwork,6.8,Dr. Smith,"Average performance in teamwork, working on improvements"
INT_0001_M6_Ini,INT_0001,2024,6,Initiative,6.7,Dr. Smith,"Average performance in initiative, working on improvements"
INT_0002_M1_Tec,INT_0002,2024,1,Technical Skills,5.1,Prof. Johnson,"Average performance in technical skills, working on improvements"
INT_0002_M1_Com,INT_0002,2024,1,Communication,6.2,Prof. Johnson,"Average performance in communication, working on improvements"
INT_0002_M1_Pro,INT_0002,2024,1,Problem Solving,6.8,Prof. Johnson,"Adequate problem solving, has room for improvement"
INT_0002_M1_Tea,INT_0002,2024,1,Teamwork,6.2,Prof. Johnson,"Average performance in teamwork, working on improvements"
INT_0002_M1_Ini,INT_0002,2024,1,Initiative,5.0,Prof. Johnson,"Below expectations in initiative, needs focused training"
INT_0002_M2_Tec,INT_0002,2024,2,Technical Skills,7.0,Prof. Johnson,"Strong technical skills, meets all expectations"
INT_0002_M2_Com,INT_0002,2024,2,Communication,8.7,Prof. Johnson,"Solid communication skills, continues to improve"
INT_0002_M2_Pro,INT_0002,2024,2,Problem Solving,6.6,Prof. Johnson,"Adequate problem solving, has room for improvement"
INT_0002_M2_Tea,INT_0002,2024,2,Teamwork,7.5,Prof. Johnson,"Strong teamwork, meets all expectations"
INT_0002_M2_Ini,INT_0002,2024,2,Initiative,7.9,Prof. Johnson,"Good performance in initiative, reliable and consistent"
INT_0002_M3_Tec,INT_0002,2024,3,Technical Skills,6.5,Prof. Johnson,"Developing technical skills skills, needs more practice"
INT_0002_M3_Com,INT_0002,2024,3,Communication,6.6,Prof. Johnson,"Developing communication skills, needs more practice"
INT_0002_M3_Pro,INT_0002,2024,3,Problem Solving,6.8,Prof. Johnson,"Developing problem solving skills, needs more practice"
INT_0002_M3_Tea,INT_0002,2024,3,Teamwork,6.1,Prof. Johnson,"Adequate teamwork, has room for improvement"
INT_0002_M3_Ini,INT_0002,2024,3,Initiative,7.6,Prof. Johnson,"Solid initiative skills, continues to improve"
INT_0002_M4_Tec,INT_0002,2024,4,Technical Skills,6.8,Prof. Johnson,"Average performance in technical skills, working on improvements"
INT_0002_M4_Com,INT_0002,2024,4,Communication,6.8,Prof. Johnson,"Adequate communication, has room for improvement"
INT_0002_M4_Pro,INT_0002,2024,4,Problem Solving,7.1,Prof. Johnson,"Strong problem solving, meets all expectations"
INT_0002_M4_Tea,INT_0002,2024,4,Teamwork,7.4,Prof. Johnson,"Strong teamwork, meets all expectations"
INT_0002_M4_Ini,INT_0002,2024,4,Initiative,7.7,Prof. Johnson,"Strong initiative, meets all expectations"
INT_0002_M5_Tec,INT_0002,2024,5,Technical Skills,6.7,Prof. Johnson,"Developing technical skills skills, needs more practice"
INT_0002_M5_Com,INT_0002,2024,5,Communication,5.9,Prof. Johnson,"Developing communication skills, needs more practice"
INT_0002_M5_Pro,INT_0002,2024,5,Problem Solving,5.7,Prof. Johnson,"Developing problem solving skills, needs more practice"
INT_0002_M5_Tea,INT_0002,2024,5,Teamwork,6.4,Prof. Johnson,"Developing teamwork skills, needs more practice"
INT_0002_M5_Ini,INT_0002,2024,5,Initiative,5.5,Prof. Johnson,"Average performance in initiative, working on improvements"
INT_0002_M6_Tec,INT_0002,2024,6,Technical Skills,8.4,Prof. Johnson,"Solid technical skills skills, continues to improve"
INT_0002_M6_Com,INT_0002,2024,6,Communication,8.8,Prof. Johnson,"Good performance in communication, reliable and consistent"
INT_0002_M6_Pro,INT_0002,2024,6,Problem Solving,8.1,Prof. Johnson,"Strong problem solving, meets all expectations"
INT_0002_M6_Tea,INT_0002,2024,6,Teamwork,8.9,Prof. Johnson,"Good performance in teamwork, reliable and consistent"
INT_0002_M6_Ini,INT_0002,2024,6,Initiative,7.4,Prof. Johnson,"Strong initiative, meets all expectations"
INT_0003_M1_Tec,INT_0003,2024,1,Technical Skills,4.8,Dr. Smith,"Struggling with technical skills, requires additional support"
INT_0003_M1_Com,INT_0003,2024,1,Communication,5.1,Dr. Smith,"Developing communication skills, needs more practice"
INT_0003_M1_Pro,INT_0003,2024,1,Problem Solving,4.7,Dr. Smith,Needs significant improvement in problem solving
INT_0003_M1_Tea,INT_0003,2024,1,Teamwork,6.3,Dr. Smith,"Developing teamwork skills, needs more practice"
INT_0003_M1_Ini,INT_0003,2024,1,Initiative,5.4,Dr. Smith,"Adequate initiative, has room for improvement"
INT_0003_M2_Tec,INT_0003,2024,2,Technical Skills,7.0,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0003_M2_Com,INT_0003,2024,2,Communication,8.3,Dr. Smith,"Strong communication, meets all expectations"
INT_0003_M2_Pro,INT_0003,2024,2,Problem Solving,7.9,Dr. Smith,"Strong problem solving, meets all expectations"
INT_0003_M2_Tea,INT_0003,2024,2,Teamwork,7.5,Dr. Smith,"Strong teamwork, meets all expectations"
INT_0003_M2_Ini,INT_0003,2024,2,Initiative,8.2,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0003_M3_Tec,INT_0003,2024,3,Technical Skills,6.5,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0003_M3_Com,INT_0003,2024,3,Communication,5.8,Dr. Smith,"Average performance in communication, working on improvements"
INT_0003_M3_Pro,INT_0003,2024,3,Problem Solving,5.3,Dr. Smith,"Developing problem solving skills, needs more practice"
INT_0003_M3_Tea,INT_0003,2024,3,Teamwork,5.4,Dr. Smith,"Developing teamwork skills, needs more practice"
INT_0003_M3_Ini,INT_0003,2024,3,Initiative,6.2,Dr. Smith,"Average performance in initiative, working on improvements"
